episode,episode_length,total_rewards,avg_q,epsilon
22,12,"tf.Tensor(
[-12.  -8.   0.   6.   4.  -8.  -8.  -2.  -4.  -8.  -6.  -4.   0.  -6.
   4.  -2.  -8.  -2.  -6.  -6.   0.  -2.   0.  -2.   4.  -6.  -2.   0.
   4.   0. -10.  -6.   6.  -2. -12.  -2.   0.  -6.  -6.  -4.   0. -10.
  -8.  -2.   2.   4.   0.  -2.   2.   8.  -6.   0.  -8. -12.  -4.   8.
   0.  -6.  12.   0.  -6.   0.  -4.   0.], shape=(64,), dtype=float32)",0.12252364,0.8960797052218044
23,53,"tf.Tensor(
[  1.   3.  -7.  11.  -3.   9. -19. -21.   7. -21.   3. -11.  -9. -21.
  -7.  -1.   5. -13.  -3. -23. -11. -13.   7.   9.  -7. -33.   5. -15.
 -19. -25. -15. -17. -21.  -7.  13.  -3.   9.  -5.  -9. -23. -13. -11.
  -7. -27. -17.  11.  -7.   3. -21.  -5.   9.  -9.  -7. -15.  -3. -23.
 -15.  -9. -27. -15. -17. -15.   1. -17.], shape=(64,), dtype=float32)",0.072667696,0.8916215972356263
24,12,"tf.Tensor(
[ -6.  -4.  -2.  -2.   0.  -6.  -2.  -4.   6.   6.  -2.  -6.  -4.   6.
  -2.   6.  -2.  -2.   0. -10.  -6.  -2.  -6.   0.   0.  -8.  -2.   2.
  -2.   0.   0.  -6.  -4.  -6.   2.  -4.   0. -12.   0.   2.   4.  -6.
  -2.  -6.  -4.  -2.  -8.   2.  -8.   0.  12.  -6.  -8.   6.  -8.  -6.
   0.   0.   6.  -6.   0.  -2.  -6. -10.], shape=(64,), dtype=float32)",0.07262467,0.8871856688911706
25,22,"tf.Tensor(
[-10. -12.  -4.   0.   0.  -4.   2.   4. -12.  -6. -10.  -4.   0. -12.
 -16.  -6. -10.   0.  -2.   4. -16.   0.   2.   0.  -2.  -6.   0. -14.
   0.  -6.   4.   2. -12.   0. -12. -14.  10.   0.   4. -12. -10. -10.
  -4.   0.  -6.   0. -10.  -2.  -4. -10.  -6.   0.  -4.  -6. -12. -12.
 -16. -12. -10.   4.  -6. -16.   0.   4.], shape=(64,), dtype=float32)",0.06360515,0.8827718098419609
26,25,"tf.Tensor(
[ -1.  -1. -13.   7.   7.  -7.  -7. -17. -11. -11. -25.   5. -13. -13.
 -13. -19. -13. -17.   1.   7.  11.  -5.  -1. -17.   7. -11. -17. -17.
 -11.  -1.  -5.  -7.  -7. -19.   5.   7. -11.  -5.   1.  -1. -13.  -7.
 -19. -17.  -1.   1. -25. -11.  -7.   5.  11.  -5.   5. -19. -23.   1.
  -7.   5.  -1.  13.  -5.  -7. -11. -17.], shape=(64,), dtype=float32)",0.0614476,0.8783799102905084
27,15,"tf.Tensor(
[ -9.   3.  -3.  -3.  -9.  -3.   9.  -9.  -9. -15.  -9.  -3. -15.  -9.
   3.  -9.  -3.  -3.  -3.  -9.   3.   3.  -9.   3.   3.  -9. -15.   3.
  -3.   9.  -3.   3.  -9.  -3.  -3.  -9. -15. -15.  -3.  -9. -15.  -3.
  -3. -15. -15.  -9.  -9.  -3.   3.  -3.  -3.  -3.   3.   3.  -3.  -9.
  -3.  -3.  -9.  -9.   9. -15.   3.  -3.], shape=(64,), dtype=float32)",0.049054574,0.8740098609855806
28,33,"tf.Tensor(
[-21.  -3.  -9.   9.   3.  -9. -15.  -3. -15.   9.  -3.   3.   9.  -3.
 -21.   9.  -9.  -9. -21. -15.  -9.  -9.  -9.  -9. -27.  -3.  -9.   3.
   3.  -9.  -9.  -3.   3.  -9.   9. -15.  -9. -21.  -9.   3.   9. -21.
 -15. -15. -15.  -3. -15.  -9.  -9.  15.  -3. -15. -15.  -3. -33.  -9.
 -21.  -3.  -3.  -3.   3. -21. -15. -15.], shape=(64,), dtype=float32)",0.026664998,0.8696615532194834
29,53,"tf.Tensor(
[-11.  13.  -1.  -1.  -7.  -5.  -7. -11.  11.  -5.   1.   1.  13.   1.
 -19.  -7.   1.   7. -11.  -5. -19.  -5.  -7. -23. -31. -31.  -1.   1.
  -1.  -7.  -1. -23. -19.  -7. -11. -19.  17.  -5. -13.   7. -17. -29.
  -5. -17.   1.  -1.   7. -11.  -5. -13.  -5.   1. -23. -35. -25. -19.
 -25. -25.  19.   7. -31.  -5. -11. -11.], shape=(64,), dtype=float32)",0.106360056,0.8653348788253566
30,22,"tf.Tensor(
[ -4.   2.   4.  -8.   4. -16. -14.  -4.  -8.   2.  -4.  -4.   2.  -4.
  -8.  -2.  -4. -10.  -4.   8. -20.   2.  -2. -10.  -2.  -2.  -2. -10.
  -2.  -2.  -2. -10.   4.   4.   2.  -2.  -8. -16.  10.   2.  -4.  -4.
 -10.  -4.   2. -14. -10.  -4.   2.  -8. -16. -16.   8.  -4. -14. -14.
   4. -14.   2. -10. -20.  -4.   8. -16.], shape=(64,), dtype=float32)",0.11902402,0.8610297301744844
31,34,"tf.Tensor(
[-10.  16. -10. -22. -14. -26.  -8.  14.  -4.  10. -14. -16.   4. -10.
 -16.  -2.   8.  -8.   2.  -4.  -8.  -8. -28.   2.   4.  -2. -16.   2.
 -22.  16. -22.   4. -10.  -4.  -2.  -4. -22.  10. -16.   2.   2.  -4.
 -22.   8.  -4. -14.  -4. -16. -16.   2.  -4. -10.  -8. -22. -14.  10.
 -20.  -2.   2.  16. -16.  -2.  -8.   2.], shape=(64,), dtype=float32)",0.119503856,0.8567460001736164
